==PROF== Connected to process 1980 (D:\b00852572\cnn-int8\cuda\build\conv5.exe)
==PROF== Disconnected from process 1980
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)16, (int)16, (int)16, (bool)0>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","72.21"
"0","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)16, (int)16, (int)16, (bool)0>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","nsecond","54,016"
"0","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)16, (int)16, (int)16, (bool)0>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","sm__inst_executed_pipe_tensor_op_imma.sum","inst","179,120"
"0","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)16, (int)16, (int)16, (bool)0>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","%","17.23"
"0","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)16, (int)16, (int)16, (bool)0>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","sm__pipe_tensor_op_imma_cycles_active.avg.pct_of_peak_sustained_elapsed","%","17.23"
"0","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)16, (int)16, (int)16, (bool)0>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","56.96"
"1","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)16, (int)32, (int)32, (bool)0>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","75.22"
"1","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)16, (int)32, (int)32, (bool)0>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","nsecond","108,544"
"1","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)16, (int)32, (int)32, (bool)0>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","sm__inst_executed_pipe_tensor_op_imma.sum","inst","358,240"
"1","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)16, (int)32, (int)32, (bool)0>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","%","16.49"
"1","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)16, (int)32, (int)32, (bool)0>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","sm__pipe_tensor_op_imma_cycles_active.avg.pct_of_peak_sustained_elapsed","%","16.49"
"1","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)16, (int)32, (int)32, (bool)0>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","47.86"
"2","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)32, (int)16, (int)16, (bool)0>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","84.16"
"2","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)32, (int)16, (int)16, (bool)0>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","nsecond","93,184"
"2","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)32, (int)16, (int)16, (bool)0>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","sm__inst_executed_pipe_tensor_op_imma.sum","inst","322,416"
"2","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)32, (int)16, (int)16, (bool)0>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","%","19.82"
"2","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)32, (int)16, (int)16, (bool)0>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","sm__pipe_tensor_op_imma_cycles_active.avg.pct_of_peak_sustained_elapsed","%","19.82"
"2","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)32, (int)16, (int)16, (bool)0>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","50.94"
"3","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)16, (int)16, (int)16, (bool)0>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","72.10"
"3","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)16, (int)16, (int)16, (bool)0>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","nsecond","54,080"
"3","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)16, (int)16, (int)16, (bool)0>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","sm__inst_executed_pipe_tensor_op_imma.sum","inst","179,120"
"3","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)16, (int)16, (int)16, (bool)0>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","%","17.20"
"3","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)16, (int)16, (int)16, (bool)0>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","sm__pipe_tensor_op_imma_cycles_active.avg.pct_of_peak_sustained_elapsed","%","17.20"
"3","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)16, (int)16, (int)16, (bool)0>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","56.85"
"4","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)16, (int)8, (int)4, (bool)1>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","67.99"
"4","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)16, (int)8, (int)4, (bool)1>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","nsecond","38,688"
"4","1980","conv5.exe","127.0.0.1","void conv_mma32_kernel<(int)16, (int)8, (int)4, (bool)1>(const signed char *, void *, const signed char *, const int *, const float *)","1","7","(128, 1, 1)","(2239, 1, 1)","0","8.9","Command line profiler metrics","sm__inst_executed_pipe_tensor_op_imma.sum","inst","89,560"
